,count,mean,std,min,25%,50%,75%,max
amer_indian_alaskan,3581.0,0.031834683049427534,0.17558429681600285,0.0,0.0,0.0,0.0,1.0
asian_pacific_island,3581.0,0.04523876012287071,0.20785639169835246,0.0,0.0,0.0,0.0,1.0
black,3581.0,0.24266964535046076,0.42875683560212147,0.0,0.0,0.0,0.0,1.0
hispanic,3581.0,0.07958670762356884,0.2706900907515541,0.0,0.0,0.0,0.0,1.0
unknown,3581.0,0.003909522479754258,0.06241254593224008,0.0,0.0,0.0,0.0,1.0
white,3581.0,0.5967606813739179,0.49061653832974705,0.0,0.0,1.0,1.0,1.0
female,3581.0,0.17090198268640044,0.3764758617337038,0.0,0.0,0.0,0.0,1.0
male,3581.0,0.8290980173135996,0.3764758617337038,0.0,1.0,1.0,1.0,1.0
time_detained,3581.0,6.142558720407086,26.52170297310282,0.011805555555555557,0.7645833333333333,1.0486111111111112,3.24375,697.5097222222223
log_time_detained,3581.0,0.5905043603740244,1.3286378563452215,-4.4391850485138304,-0.2684242558473664,0.04746653723892375,1.1767300679320616,6.547516452268231
admin_booking,3581.0,0.0005585032113934655,0.023629371657110057,0.0,0.0,0.0,0.0,1.0
release_to_imm,3581.0,0.0027925160569673277,0.05277779613818677,0.0,0.0,0.0,0.0,1.0
cancel_detainer,3581.0,0.11365540351857023,0.3174365949833457,0.0,0.0,0.0,0.0,1.0
imm_hold,3581.0,0.007260541748115051,0.08491077458683012,0.0,0.0,0.0,0.0,1.0
charge_count,3581.0,1.006143535325328,0.3683971177616564,0.0,1.0,1.0,1.0,4.0
charge_topcount,3581.0,1.006143535325328,0.3683971177616564,0.0,1.0,1.0,1.0,4.0
seriousness,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_seriousness,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drug,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,3581.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
property,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_order,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sex,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
violent,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
felony,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misdemeanor,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
